date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest
2025-01-27,115.45,115.719,115.796,115.45,237342,2745300942.0,0.3,0.37,0.431,5.2,109.15,109.375,109.15,109.37,408,3221
2025-02-05,115.713,115.807,115.809,115.581,278021,3217105449.0,0.2,0.08,0.088,6.1,109.35,109.455,109.295,109.455,734,3571
2025-02-06,115.83,115.949,115.967,115.804,321971,3730862894.0,0.14,0.12,0.142,7.06,109.495,109.575,109.415,109.55,333,3680
2025-02-07,115.97,115.914,116.05,115.86,403384,4676525547.0,0.16,-0.03,-0.035,8.85,109.6,109.61,109.45,109.455,596,3962
2025-02-10,115.896,115.793,115.896,115.78,389213,4509068175.0,0.1,-0.1,-0.121,8.54,109.32,109.345,109.22,109.255,935,3989
2025-02-11,115.826,115.846,115.868,115.8,448717,5197887432.0,0.06,0.05,0.053,9.84,109.255,109.38,109.235,109.35,723,4119
2025-02-12,115.87,115.802,115.876,115.77,372688,4316893931.0,0.09,-0.04,-0.044,8.17,109.35,109.41,109.205,109.205,978,4380
2025-02-13,115.84,115.783,115.84,115.748,508046,5882797286.0,0.08,-0.02,-0.019,11.14,109.205,109.31,109.11,109.185,531,4431
2025-02-14,115.777,115.626,115.797,115.552,440005,5090051391.0,0.21,-0.14,-0.157,9.65,109.185,109.185,108.815,108.95,1690,4325
2025-02-17,115.582,115.392,115.582,115.385,423558,4890631261.0,0.17,-0.2,-0.234,9.29,108.815,108.95,108.72,108.73,1633,4860
2025-02-18,115.351,115.151,115.358,114.961,532525,6129788851.0,0.34,-0.21,-0.241,11.68,108.69,108.815,108.36,108.645,2145,5268
2025-02-19,115.261,115.25,115.297,115.13,411383,4739304017.0,0.15,0.09,0.099,9.02,108.71,108.745,108.57,108.74,1581,5758
2025-02-20,115.272,115.126,115.316,115.058,476935,5493804342.0,0.22,-0.11,-0.124,10.46,108.695,108.755,108.41,108.44,1935,6199
2025-02-21,115.03,114.923,115.13,114.837,303759,3491537249.0,0.25,-0.18,-0.203,6.66,108.495,108.525,108.105,108.165,3554,7109
