date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,中国:国债收益率:10年,中国:国债收益率:1年,中债国债到期收益率:5年,中债国债到期收益率:30年,中债国开债到期收益率:10年,SHIBOR:3个月,R007,利率互换:FR007:1年
2025-06-12,115.659,115.594,115.67,115.592,772237,8930313047,0.07,-0.05,-0.056,16.93,109.05,109.08,108.96,108.995,49392,188181,1.6445,1.4072,1.5437,1.8485,1.7066,1.639,1.582,1.5316
2025-06-13,115.627,115.614,115.643,115.589,908937,10508585397,0.05,0.02,0.02,19.93,109.03,109.075,108.965,109.02,60457,191046,1.6478,1.4075,1.5447,1.8495,1.7032,1.638,1.5811,1.5344
2025-06-16,115.655,115.644,115.675,115.616,635454,7349032927,0.05,0.03,0.03,13.94,109.04,109.095,108.98,109.015,49941,194978,1.6444,1.3997,1.5401,1.851,1.7156,1.636,1.5598,1.5295
2025-06-17,115.703,115.76,115.766,115.625,1039409,12025577672,0.12,0.1,0.116,22.79,109.0,109.17,108.965,109.16,69095,206159,1.6507,1.3951,1.5101,1.8425,1.7046,1.634,1.5525,1.5209
2025-06-18,115.83,115.811,115.85,115.726,907875,10510564148,0.11,0.04,0.051,19.91,109.125,109.165,109.085,109.14,48250,203959,1.6427,1.3749,1.5082,1.8455,1.7091,1.63,1.5773,1.5218
2025-06-19,115.898,115.851,115.9,115.826,696524,8069755307,0.06,0.03,0.04,15.27,109.17,109.19,109.1,109.135,46048,205808,1.6422,1.362,1.5078,1.8431,1.7091,1.63,1.6019,1.5264
2025-06-20,115.859,115.878,115.89,115.818,721686,8362171974,0.06,0.02,0.027,15.83,109.105,109.205,109.1,109.15,50456,212559,1.643,1.3646,1.5025,1.8376,1.677,1.629,1.591,1.5277
2025-06-23,115.956,115.888,115.956,115.866,819172,9492839405,0.08,0.01,0.01,17.96,109.16,109.19,109.095,109.155,49489,212428,1.6417,1.3554,1.5027,1.8381,1.6775,1.629,1.5629,1.534
2025-06-24,115.868,115.77,115.886,115.761,822752,9528467005,0.11,-0.1,-0.118,18.04,109.15,109.15,109.015,109.025,51169,207169,1.6469,1.3614,1.5129,1.8506,1.6875,1.629,1.8221,1.5398
2025-06-25,115.799,115.69,115.806,115.678,695199,8048100379,0.11,-0.07,-0.08,15.25,109.04,109.115,108.935,108.995,73376,205081,1.6482,1.3628,1.5214,1.8621,1.695,1.63,1.8593,1.5401
